title,url,paroles
A t'regarder,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-a-t-regarder.html,"Tout le jour tu es loin de moi mais lorsque tombe la nuit que tu viens dormir près de moi j'oublie toute ma vie quand se ferment sur notre amour les portes de ton sommeil en moi que de tourments s'éveillent A t'regarder J'ai le cœur qui soupire J'voudrais crier, sangloter ou bien rire A t'regarder Je sens comme une angoisse Si tu savais ce que tu tiens de place A t'regarder J'ai le cœur qui chavire Et mes pensées me font mal Me déchirent Si tu devais rêver à quelqu'un d 'autre Et partager ces joies qui sont les nôtres A t'regarder Quand la peur me domine Pour libérer Ce cri de ma poitrine J'veux t'éveiller Te voir de venir blême Et m'effondrer En te criant Je t'aime"
À Tout Jamais,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-a-tout-jamais.html,"Quand nous aurons fermé les yeux À tout jamais, à tout jamais À l'instant du dernier adieu J'en aurai encore du regret J'en aurai encore du remords Et partirai avec ma peine Et pour peu que je me souvienne Ce mal n'en sera que plus fort Car nous avons fermé nos cœurs À tout jamais, à tout jamais Pour remplacer notre de bonheur Par du chagrin et des regrets Lorsque les siècles bout à bout À tout jamais, à tout jamais Aurons mis le passé sur nous Et que l'oubli sera complet S'il reste encore une lueur S'il reste encore un rien de flamme Sous la cendre tiède de l'âme Qui paraît-il jamais ne meurt Pour trouver le calme infini À tout jamais, à tout jamais Tout comme au temps de notre vie Mon amour je te chercherai T'appellerai Te trouverai Te garderai À tout jamais"
A Very Private Christmas,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-a-very-private-christmas.html,"It's Christmas, Mary Fairy lights are on the tree It's Christmas, Mary Dark and deep, the world asleep is set For you and me It's Christmas, Mary It's Christmas Eve, I can't believe The year has flown Let's have a very private Christmas Evening On our own It's Christmas, Mary Carefree moments can be bliss It's Christmas, Mary Here below the mistletoe We two can slowly kiss It's Christmas, Mary This is our chance to touch and dance While we're alone And have a very private Christmas Evening On our own The children will be wide awake tomorrow With noise, and toys, and snowmen dressed in white For now let's just forget about tomorrow Let's concentrate on you and me Tonight It's Christmas, Mary Merry Christmas, I love you It's Christmas, Mary Dear, it's late, why hesitate When nights like these are few It's Chrismas, Mary Why should we wait to celebrate As lovers do Let's have a very private Christmas Evening Just for two"
Abbracciami,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-abbracciami.html,"Hai gli occhi fissi su di me lo sguardo malizioso che ne sa suggerire di cose Abbracciami coi gesti stai dicendo sì ti muovi tutta al ralenti in nuove colpevoli pose Abbracciami un vuoto, tengo dentro il fiato ti guardo come ipnotizzato e sento che sale una febbre Abbracciami in un crescendo rossiniano c'è la tua lingua in primo piano che scivola fra le tue labbra Abbracciami come un frutto proibito mi fa gola l'invito sia quel che sia Abbracciami fino a perder la testa nella dolce tempesta che porta via Ho sete ormai del tuo disordine selvaggio nel tuo corpo dove assaggio tenerezza e pazzia Abbracciami dal tuo bacio verrà un po' di eternità anche per me Abbracciami Mi fanno bene e mi fan male i giochi che sai inventare e qui ti riveli geniale Abbracciami e tra due battiti di cuore diventa un rantolo l'amore la donna che eri scompare Abbracciami pudica la tua nudità i tuoi fantasmi in libertà ormai son finiti lontano Abbracciami e in questo vortice predone i fuochi ardenti e di passione inventi dei nuovi ""ti amo"" Abbracciami come un frutto proibito mi fa gola l'invito sia quel che sia Abbracciami fino a perder la testa nella dolce tempesta che porta via Ho sete ormai del tuo disordine selvaggio nel tuo corpo dove assaggio tenerezza e pazzia Abbracciami dal tuo bacio verrà un po' di eternità anche per me Abbracciami La la la ra ra rà la la la la la là la la la là Abbracciami la la là ra ra rà la la là la la là la la la là Abbracciami la la là ra ra rà la la là la la là la la la là Abbracciami la la là ra ra rà ra ra rà ra ra rà la rì ra rà Abbracciami..."
Adieu,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-adieu.html,"Adieu, tout ce qui fut nous Ce qui fut notre vie Adieu, ce monde un peu fou Que le bonheur nous avait bâti Adieu, il me faut partir Le destin sépare les êtres Que dieu voulait réunir Mais on se reverra peut-être Ici ou ailleurs Demain ou jamais Avec dans nos cœurs Des remords, des regrets Tu veux retenir le temps Mais il est plus fort que tout Plus fort que nos cœurs d´enfant Le temps, chérie, est contre nous Adieu, ils étaient trop beaux Les printemps de nos rires Adieu, tout ce qui bientôt Ne sera plus que souvenirs Adieu, il faut écraser Les raisins verts de la jeunesse Pour mieux, au vin du passé Plus tard, en retrouver l´ivresse Que nous reste-t-il De nos jours heureux Quelques mots futiles Et le temps d´un adieu Tes yeux seront noyés de pleurs Ta main reste dans ma main Ma mie, viens contre mon cœur Je ne partirai que demain"
Adios A La Mama,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-adios-a-la-mama.html,"Ya están aquí, llegaron ya A la llamada del amor Está muriendo la mamá Todos al fin llegaron ya De todas partes del país Desde el mayor hasta el menor Todos en torno a la mamá Y hasta los niños al jugar En un extremo del salón Se esfuerzan para no gritar Es una última atención a la mamá Todos se turnan en cuidarla En atenderla, y abrazarla Está muriendo la mamá Santa María madre de Dios Nuestra señora del dolor Todos te rezan con fervor Y entonan el Ave María, Ave María Tanto recuerdo, y tanto amor Alrededor de la mamá Tanto suspiro, tanto dolor Alrededor de la mamá Vuelve a formarse la reunión Y así por la postrera vez Está muriendo la mamá Y como un rito en la ocasión Se pasan una y otra vez El jarró con sabor a pez Que beben con moderación Es raro pero no hay tristeza Hay una gran resignación Y mientras un hermano reza El otro, canta una canción a la mamá Y las mujeres se han reunido En torno a la hermana mayor Está muriendo la mamá Un cirio medio consumido Ante la imagen del Señor Con un rosario renegrido Repiten todos la oración: Ave María Tanto recuerdo y tanto amor Alrededor de la mamá Tanto suspiro, tanto dolor Alrededor de la mamá Que jamás, jamás, jamás Jamás, nos dejará"
After Loving You,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-after-loving-you.html,"Now that I have known love as sweet as yours Love so very deep and complete as yours Hunger for your lips, pains of jealousy After loving you, what is left for me Head and heart and soul, overpowered by love I forget that there was a God above Tortured by the things that I couldn't see After loving you, what is left for me Leave me and my voice would become so still And my touch would be winter's icy chill Leave me and my eyes would be full of rain And the need of you surging through and through Would drive me insane Loving you so much that it tears my heart That would hurt me less than to be apart So it will remain till eternity There's no other world that is worth passing through After holding you After kissing you After loving you"
Agosto En Paris,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-agosto-en-paris.html,
Ah!,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-ah.html,"Ah! lorsque ma poule Roucoule Je croule Dans un monde étrange encore inexploré Ah! elle m'enlace M'embrasse J'en passe Car il y a des choses qu'on ne peux expliquer Elle a son secret D'où le tient-elle, qui le sait ? Mais la donzelle s'y connaît Si bien que j'en suis stupéfait Ah! car ce bolide Avide Me vide Lorsque je la prend Entre mes bras puissants Ah! Ah! Ah! Ah! J'ai connu par elle une quantité d'exclamations Des ah! admiratifs Puis des ah! négatifs Des ah! idiots et des ah! expressifs Des ah! contemplatifs Des ah! longs et plaintifs Qui tous me menèrent aux ah! explosifs Ah! lorsque ma louve Me couve J'éprouve Un plaisir immense qui me prend cent pour cent Ah! ses yeux proposent J'explose Et j'ose Lui dire des phrases qui lui remuent le sang C'est un vrai volcan Elle bouillonne Constamment Et me passionne Follement Bien qu'elle ait tout l'air d'une enfant Ah! lorsque farouches, Nos bouches Se touchent J'en perds la raison Tellement que c'est bon Ah! quand ma tigresse Me presse L'ivresse Me tourne la tête et je suis envoûté Ah! elle m'attaque Et quoique Je craque De toutes ses forces elle me tiens serré Je ne vois plus rien Une seconde Tout s'éteint J'oublie le monde Je l'étreins Pour que son cœur se fonde au mien Ah! c'est l'hécatombe La bombe Qui tombe Si c'est ça l'amour Ah! qu'on m'en donne Donne donne Nuit et jour"
Aïe! mourir pour toi,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-aie-mourir-pour-toi.html,Aïe! mourir pour toi A l'instant où ta main me frôle Laisser ma vie sur ton épaule Bercé par le son de ta voix Aïe! mourir d'amour T'offrir ma dernière seconde Et sans regret quitter le monde En emportant mon plus beau jour Pour garder notre bonheur Comme il est là Ne pas connaître la douleur Par toi Et la terrible certitude De la solitude Aïe! mourir pour toi Prendre le meilleur de nous-mêmes Dans le souffle de ton je t'aime Et m'endormir avec mes joies Parle-moi Console-moi J'ai peur du jour qui va naître Il sera le dernier peut-être Que notre bonheur va connaître Serre-moi Apaise-moi Quand j'ai l'angoisse du pire Ne dis rien quand tu m'entends dire Qu'au fond mourir pour mourir Aïe! mourir pour toi A l'instant où ta main me frôle Laisser ma vie sur ton épaule Bercé par le son de ta voix Aïe! mourir d'amour T'offrir ma dernière seconde Et sans regret quitter le monde En emportant mon plus beau jour Pour garder notre bonheur Comme il est là Ne pas connaître la douleur Par toi Et la terrible certitude De la solitude Aïe! mourir pour toi Prendre le meilleur de nous-mêmes Dans le souffle de ton je t'aime Et m'endormir avec mes joies Mourir pour toi...
